district,rooms,size,level,max_levels,price,street
Юнусабадский,3,57.0,4,4,52000.0, Юнусабад 8-й квартал
Яккасарайский,2,52.0,4,5,56000.0, 1-й тупик Шота Руставели
Чиланзарский,2,42.0,4,4,37000.0, Чиланзар 2-й квартал
Чиланзарский,3,65.0,1,4,49500.0, Чиланзар 9-й квартал
Чиланзарский,3,70.0,3,5,55000.0, площадь Актепа
Чиланзарский,1,28.0,1,4,25500.0, Чиланзар 6-й квартал
Чиланзарский,1,30.0,2,4,21200.0, Чиланзар-16
Яккасарайский,2,32.0,5,5,20000.0, Саламатина
Учтепинский,2,51.0,3,4,26200.0, Чиланзар-21
Чиланзарский,1,30.0,1,4,22200.0, Чиланзар-8
Учтепинский,2,30.0,2,5,24200.0, Чиланзар-14
Чиланзарский,3,67.0,2,5,30200.0, Чиланзар-20
Чиланзарский,1,30.0,2,4,21200.0, Чиланзар-17
Чиланзарский,1,30.0,2,4,21200.0, Чиланзар-16
Чиланзарский,1,30.0,2,4,21200.0, Чиланзар-19
Чиланзарский,1,35.0,1,5,22500.0, Чиланзар-19
Чиланзарский,1,43.0,4,4,22500.0, Г9а
Чиланзарский,2,51.0,2,4,21200.0, Чиланзар-7
Мирзо-Улугбекский,3,65.0,1,4,32500.0, Феруза
Чиланзарский,2,51.0,2,4,22200.0, Чиланзар-17
Чиланзарский,2,51.0,2,4,24200.0, Чиланзар-9
Яккасарайский,4,90.0,5,5,45000.0, Кушбеги
Чиланзарский,4,80.0,3,4,56000.0, 1-й проезд Заргарлик
Яшнободский,2,70.0,5,5,47000.0, Садыка Азимова (Жуковского)
Мирзо-Улугбекский,3,69.0,1,4,49900.0, ТТЗ-4
Мирабадский,3,80.0,2,4,76000.0, Афросиёб
Учтепинский,3,96.0,3,4,65000.0, Чиланзар 13-й квартал махалля Кухна-Чупонота
Учтепинский,4,76.0,4,4,47500.0, Чиланзар 11-й квартал
Учтепинский,2,45.0,4,5,30000.0, Чиланзар 13-й квартал
Чиланзарский,1,27.0,3,4,32000.0, Чиланзар 5-й квартал
Учтепинский,2,65.0,3,9,44000.0, Чиланзар 30-й квартал
Чиланзарский,2,64.0,3,4,56500.0, Чиланзар 2-й квартал
Чиланзарский,1,42.0,5,9,35000.0, Чиланзар 7-й квартал
Чиланзарский,1,26.0,2,4,23500.0, Чиланзар 7-й квартал
Учтепинский,4,76.0,5,5,60500.0, Чиланзар 26-й квартал
Чиланзарский,3,80.0,2,4,68000.0, Чиланзар квартал 20Д
Чиланзарский,3,72.0,5,5,41500.0, 1-й проезд Лутфи
Учтепинский,4,100.0,3,12,55000.0, Чиланзар 31-й квартал
Учтепинский,3,65.0,4,4,44000.0, Чиланзар 11-й квартал
Учтепинский,4,80.0,3,4,52500.0, Чиланзар 11-й квартал
Учтепинский,3,72.0,6,9,43000.0, Чиланзар 31-й квартал
Мирабадский,2,65.0,1,4,80000.0, Тараса Шевченко
Яккасарайский,2,63.0,1,5,42000.0, Кушбеги
Яккасарайский,2,48.0,5,9,23000.0, Кушбеги
Юнусабадский,3,70.0,3,4,47000.0, Юнусабад 18-й квартал
Яккасарайский,3,102.0,7,12,88784.0, Бабура
Учтепинский,4,78.0,2,4,65000.0, Гулистон
Чиланзарский,4,100.0,1,4,97000.0, Чиланзар квартал И
Чиланзарский,1,34.0,1,4,28500.0, Чиланзар 19-й квартал
Чиланзарский,2,42.0,2,4,34500.0, Чиланзар 10-й квартал
Учтепинский,4,80.0,4,5,51000.0, Чиланзар 15-й квартал
Учтепинский,3,90.0,1,12,51000.0, Чиланзар 31-й квартал
Чиланзарский,2,45.0,2,4,48000.0, Чиланзар 2-й квартал
Чиланзарский,3,70.0,5,5,40000.0, Аль-Хорезми-2
Чиланзарский,4,96.0,7,9,67000.0, Чиланзар квартал Ц
Учтепинский,4,80.0,4,5,68000.0, Чиланзар 25-й квартал
Учтепинский,2,63.0,1,4,40500.0, Чиланзар 24-й квартал
Учтепинский,2,56.0,4,5,54000.0, Чиланзар 23-й квартал
Учтепинский,2,52.0,1,4,36000.0, Чиланзар 22-й квартал
Учтепинский,3,98.0,2,4,68000.0, Чиланзар 12-й квартал
Чиланзарский,3,96.0,9,9,63000.0, Бешёгоч
Шайхантахурский,4,93.0,4,4,63500.0, Актепа
Шайхантахурский,2,60.0,9,9,49500.0, Международный деловой центр Tashkent City
Чиланзарский,5,82.0,4,4,70000.0, Чиланзарский район массив Аль-Хорезми-2
Учтепинский,5,120.0,9,9,52000.0, Чиланзар 23-й квартал
Учтепинский,4,110.0,3,3,91000.0, Чиланзар 15-й квартал
Чиланзарский,4,95.0,2,4,83000.0, Чиланзар 1-й квартал
Учтепинский,2,56.0,1,4,40500.0, 4-й проезд Курувчи
Чиланзарский,3,68.0,3,4,48000.0, Мукими
Олмазорский,2,57.0,3,4,42000.0, Себзар
Яшнободский,1,46.0,11,11,19765.0, Жаркургон
Чиланзарский,2,45.0,4,4,34500.0, Чиланзар 2-й квартал
Юнусабадский,2,40.0,1,9,40000.0, Юнусабад 10-й квартал
Мирзо-Улугбекский,3,95.0,5,5,50000.0, Хумаюн
Юнусабадский,2,53.0,1,9,68000.0, Кашгар
Олмазорский,2,72.0,4,9,41500.0, Карасарайская
Мирзо-Улугбекский,3,65.0,4,5,41500.0, Буз-1 (Буз базар)
Юнусабадский,4,82.0,1,4,86000.0, ц-4 Кашгар (Ц-4)
Чиланзарский,1,42.0,3,9,25500.0, Чиланзар
Чиланзарский,2,54.0,4,4,31500.0, Чиланзар
Чиланзарский,1,42.0,1,4,26500.0, Чиланзар
Учтепинский,1,20.0,3,9,14500.0, Гулистон
Чиланзарский,2,45.0,4,4,45000.0, Чиланзар 6-й квартал
Чиланзарский,1,46.0,2,5,30000.0, Чиланзар
Чиланзарский,2,50.0,2,4,34500.0, Чиланзар
Чиланзарский,1,36.0,2,4,27000.0, Чиланзар
Учтепинский,4,80.0,6,9,59500.0, Чиланзар 12-й квартал
Учтепинский,3,72.0,3,9,48000.0, Кизил Шарк
Учтепинский,4,78.0,5,5,47299.0, Чиланзар 25-й квартал
Чиланзарский,2,46.0,4,5,37000.0, Аль-Хорезми-2
Чиланзарский,2,60.0,2,4,38000.0, Чиланзар-8
Олмазорский,2,58.0,5,9,29500.0, 15-й проезд Сагбан
Чиланзарский,2,70.0,2,7,56000.0, Чиланзар 10-й квартал
Яккасарайский,2,68.0,6,9,45000.0, 1-й проезд Мукими
Учтепинский,4,100.0,3,5,61500.0, Чиланзар 31-й квартал
Чиланзарский,3,68.0,5,5,46500.0, Мукими
Учтепинский,3,70.0,4,12,51000.0, Чиланзар 31-й квартал
Чиланзарский,3,90.0,5,9,58400.0, Аль-Хорезми-2
Чиланзарский,3,60.0,5,5,47000.0, Аль-Хорезми-2
Учтепинский,4,80.0,5,5,52500.0, Чиланзар 31-й квартал
Учтепинский,3,74.0,3,5,50000.0, Гулистон
Чиланзарский,2,48.0,2,5,41500.0, Чиланзар 1-й квартал
Чиланзарский,4,94.0,9,9,45000.0, Аль-Хорезми-2
Учтепинский,3,65.0,4,9,47500.0, Чиланзар 24-й квартал
Чиланзарский,4,85.0,3,4,52500.0, Наккашлык
Учтепинский,1,42.0,5,5,26000.0, Чиланзар 24-й квартал
Чиланзарский,4,110.0,3,4,105000.0, Чиланзар квартал Ц
Учтепинский,3,70.0,4,4,42000.0, Чиланзар квартал Г9А
Чиланзарский,3,68.0,2,5,53500.0, Чиланзар 8-й квартал
Яккасарайский,2,48.0,5,9,23000.0, Кушбеги
Яшнободский,1,20.0,3,3,12500.0, Ташсельмаш
Мирабадский,3,110.0,4,7,107000.0, Тараса Шевченко
Чиланзарский,2,46.0,3,4,35000.0, Чиланзар 19-й квартал
Чиланзарский,4,125.0,5,5,70000.0, Чиланзар квартал Ц
Мирзо-Улугбекский,2,72.0,18,19,55000.0, площадь Хамида Алимджана
Мирзо-Улугбекский,2,64.67,7,9,39414.0, Алтынтепа
Юнусабадский,2,70.0,4,9,60000.0, Чинабад
Юнусабадский,1,50.0,7,9,37000.0, Киёт
Мирзо-Улугбекский,2,51.0,2,4,49000.0, Буз-2 (Буз)
Мирзо-Улугбекский,1,22.0,1,2,18000.0, Феруза
Чиланзарский,2,54.0,1,4,42500.0, Чиланзар 5-й квартал
Чиланзарский,1,30.0,3,5,34500.0, Чиланзар 5-й квартал
Чиланзарский,1,42.0,5,9,37000.0, Чиланзар 19-й квартал
Яккасарайский,3,70.0,2,4,70000.0, Тафаккур
Шайхантахурский,3,68.0,2,4,45800.0, Самарканд Дарвоза
Чиланзарский,1,30.0,4,4,24000.0, Чиланзар 7-й квартал
Учтепинский,1,52.0,1,4,58000.0, Чиланзар 14-й квартал
Чиланзарский,4,72.0,4,4,55500.0, Чиланзар 16-й квартал
Чиланзарский,4,76.0,2,4,68000.0, Чиланзар 16-й квартал
Учтепинский,2,48.0,4,4,31000.0, Чиланзар 24-й квартал
Чиланзарский,2,66.0,3,9,47000.0, Аль-Хорезми-2
Чиланзарский,3,60.0,3,5,47000.0, Чиланзар квартал Ц
Чиланзарский,2,37.0,1,4,41000.0, Чиланзар 6-й квартал
Мирзо-Улугбекский,1,40.0,3,4,24000.0, Муминова
Юнусабадский,2,61.0,1,4,55000.0, Юнусабад 11-й квартал
Чиланзарский,1,32.0,2,4,28500.0, Чиланзар 4-й квартал
Чиланзарский,3,65.0,4,4,42000.0, Чиланзар 16-й квартал
Учтепинский,3,66.0,2,5,67000.0, Чупон-Ота
Чиланзарский,3,70.0,4,4,46500.0, Чиланзар 5-й квартал
Чиланзарский,3,66.0,4,4,50500.0, Катта козиробод
Учтепинский,3,65.0,1,4,40000.0, Чиланзар 11-й квартал
Яшнободский,1,37.0,5,8,13071.0, 1-й проезд Иззат
Мирзо-Улугбекский,2,69.65,4,9,45188.0, Алтынтепа
Учтепинский,4,88.0,4,5,53000.0, Чиланзар 11-й квартал
